purchase_id,gem_id,supplier_id,user_id,quantity,unit_cost,purchase_date,notes
536,106,3,45,20,5364.48,10/2/2018,Single stone premium buy
537,140,13,22,25,14164.71,1/24/2018,Lab graded stones
538,154,22,36,22,19088.97,4/5/2019,Custom cut request
539,127,43,40,42,4680.28,11/24/2018,Heat-treated disclosed
540,147,40,36,3,22888.14,4/16/2020,Routine quarterly restock
541,151,28,31,15,10045.84,11/15/2021,Heat-treated disclosed
542,109,5,6,7,18860.91,10/8/2019,Conflict-free certified
543,109,15,38,16,24454.28,4/8/2022,Custom cut request
544,148,40,35,9,20532.35,8/15/2023,Mixed quality lot
545,143,25,3,48,3341.41,4/4/2020,Gubelin certified
546,170,17,3,31,8462.46,12/8/2024,Custom cut request
547,130,14,34,33,15336.31,1/31/2019,Single stone premium buy
548,129,26,2,34,23489.13,1/27/2020,Premium quality batch
549,111,35,11,18,743.25,12/4/2019,Bulk lot purchased at trade fair
550,135,7,48,15,19374.89,1/17/2024,Emergency reorder
551,127,10,14,11,9351.31,7/21/2021,None
552,155,41,8,3,9840.5,8/10/2018,Premium quality batch
553,180,47,10,8,22662.3,1/27/2020,Parcel purchase
554,179,34,15,13,21600.23,10/21/2024,Routine quarterly restock
555,158,2,6,8,12095.78,5/30/2025,Exclusive consignment stock
556,176,56,5,30,6502.39,2/3/2020,Bulk lot purchased at trade fair
557,174,19,41,42,848.19,4/13/2020,Lab graded stones
558,147,18,38,15,13791.13,2/7/2021,None
559,110,47,20,11,7826.2,10/29/2022,Unheated certified
560,147,55,41,47,9985.58,4/26/2023,Exclusive consignment stock
561,150,46,45,15,1543.6,10/24/2018,New supplier trial order
562,159,52,48,35,4410.16,7/18/2018,GIA certified stones
563,101,22,34,32,20106.11,2/18/2025,Single stone premium buy
564,155,17,5,21,21742.92,9/14/2024,Exclusive consignment stock
565,154,36,8,11,7379.23,3/3/2022,Discounted end-of-season lot
566,171,20,19,6,15151.96,8/17/2024,Gubelin certified
567,178,21,46,37,14918.17,7/3/2022,Single stone premium buy
568,106,7,25,2,13528.5,3/24/2025,Single stone premium buy
569,134,22,20,35,19501.83,8/29/2021,GIA certified stones
570,155,39,17,43,542.87,8/31/2020,Conflict-free certified
571,176,14,6,16,150.95,10/4/2022,None
572,136,42,29,19,15670.93,2/11/2019,Parcel purchase
573,105,57,38,2,9473.33,10/24/2019,Mixed quality lot
574,139,31,14,45,12373.78,3/13/2025,Certificate of authenticity included
575,141,48,43,17,24956.29,12/26/2019,Conflict-free certified
576,169,4,3,21,11337.04,12/19/2018,Unheated certified
577,127,36,17,11,3015.33,10/10/2024,Auction acquisition
578,101,36,15,14,7142.89,1/29/2025,New supplier trial order
579,101,14,44,13,24045.73,6/9/2025,Custom cut request
580,107,9,6,23,14851.13,7/23/2022,Lab graded stones
581,170,45,25,16,19196.14,1/14/2019,Auction acquisition
582,139,32,40,7,17125.61,4/23/2022,None
583,130,35,8,20,20879.53,5/19/2019,Conflict-free certified
584,112,14,4,45,5962.11,10/14/2024,Long-term supplier contract fulfillment
585,109,44,5,45,17490.93,5/5/2022,Custom cut request
586,159,10,31,34,16983.47,4/12/2023,Exclusive consignment stock
587,165,38,14,15,10905.85,3/3/2025,GIA certified stones
588,173,46,21,6,11155.91,1/4/2019,Auction acquisition
589,149,43,7,7,17215.97,12/14/2018,Custom cut request
590,112,31,30,34,18927.59,8/21/2024,Auction acquisition
591,135,40,27,43,4560.87,3/23/2018,Special request order
592,116,45,16,46,7226.9,7/19/2024,Bulk lot purchased at trade fair
593,133,11,2,27,17066.18,1/1/2019,Discounted end-of-season lot
594,167,59,24,39,8365.49,4/2/2024,Special request order
595,140,45,23,32,13166.78,12/6/2024,GIA certified stones
596,103,9,2,4,10543.95,3/1/2024,Heat-treated disclosed
597,124,37,19,7,17569.59,10/8/2022,AGL certified
598,153,34,23,16,16305.11,1/4/2023,Gubelin certified
599,128,32,36,47,10421.99,3/13/2023,Single stone premium buy
600,176,55,40,28,22062.39,5/6/2018,Routine quarterly restock
